DSO Name;MGA Name;MGA Code;MGA Type;MBA;Country
Ellevio AB;Härjedalen region;HJD;REGIONAL;SE2;SE
Härnösand Elnät AB;Härnösand;HSD;DISTRIBUTION;SE2;SE
E.ON Energidistribution AB;Harrsele region;HRS;REGIONAL;SE2;SE
Härryda Energi AB;Härryda;HRA;DISTRIBUTION;SE3;SE
E.ON Energidistribution AB;Hästberget;HBT;DISTRIBUTION;SE3;SE
Havsnäs Elnät AB;Havsnäs;HVN;REGIONAL;SE2;SE
Sala-Heby Energi Elnät AB;Heby;HBY;DISTRIBUTION;SE3;SE
Hedemora Energi AB;Hedemorahyttorna;HMH;DISTRIBUTION;SE3;SE
Gävle Energi Elnät AB;Hedesunda;HDS;DISTRIBUTION;SE3;SE
Öresundskraft Elnät AB;Helsingborg;HBG;DISTRIBUTION;SE4;SE
Herrljunga Elnät AB;Herrljunga;HLJ;DISTRIBUTION;SE3;SE
E.ON Energidistribution AB;Hjälmaren Region;HJR;REGIONAL;SE3;SE
Hjärtums Elförening ek för;Hjärtum;HJM;DISTRIBUTION;SE3;SE
Hjo Elnät AB;Hjo;HJO;DISTRIBUTION;SE3;SE
Gävle Energi Elnät AB;Hofors;HOF;DISTRIBUTION;SE3;SE
Ovako Sweden AB;Hofors Bruk;HFB;NONCON;SE3;SE
Höganäs Energi Elnät AB;Höganäs;HOG;DISTRIBUTION;SE4;SE
Kraftringen Nät AB;Höör;HOR;DISTRIBUTION;SE4;SE
Vattenfall Eldistribution AB;Horndal;HDL;DISTRIBUTION;SE3;SE
Vattenfall Eldistribution AB;Huddinge;HDG;DISTRIBUTION;SE3;SE
Ellevio AB;Hudiksvall;HDV;DISTRIBUTION;SE2;SE
Vattenfall Eldistribution AB;Huvudsta;HUV;DISTRIBUTION;SE3;SE
Vattenfall Eldistribution AB;Ingarö;ING;DISTRIBUTION;SE3;SE
Jämtkraft Elnät AB;Jämtland region;JMT;REGIONAL;SE2;SE
Jämtkraft Elnät AB;Jämtlandsbygden;JML;DISTRIBUTION;SE2;SE
Vattenfall Kraftgården AB;Järkvissle;JKE;REGIONAL;SE2;SE
Nacka Energi AB;Järla;JRA;DISTRIBUTION;SE3;SE
Fortum Sverige AB;Järpströmmen region;JPS;REGIONAL;SE2;SE
Ellevio AB;Järva-Danderyd;JDA;REGIONAL;SE3;SE
Jönköping Energi Nät AB;Jönköping;JNK;DISTRIBUTION;SE3;SE
Jukkasjärvi Sockens Belysningsförening;Jukkasjärvi;JUJ;DISTRIBUTION;SE1;SE
Fortum Sverige AB;Juveln;JUV;REGIONAL;SE2;SE
Vattenfall Eldistribution AB;Kalixbygden;KAB;DISTRIBUTION;SE1;SE
Kalmar Energi Elnät AB;Kalmar;KMR;DISTRIBUTION;SE4;SE
Karlsborgs Elnät AB;Karlsborg;KBG;DISTRIBUTION;SE3;SE
Karlshamn Elnät AB;Karlshamn;KHN;DISTRIBUTION;SE4;SE
Karlskoga Elnät AB;Karlskoga;KSA;DISTRIBUTION;SE3;SE
Affärsverken Elnät AB;Karlskrona;KKA;DISTRIBUTION;SE4;SE
Karlstads Elnät AB;Karlstad;KST;DISTRIBUTION;SE3;SE
Karskruv Nät AB;Karskruv;KAR;REGIONAL;SE4;SE
Tekniska verken i Katrineholm Nät AB;Katrineholmsbygden;KHB;DISTRIBUTION;SE3;SE
Ellevio AB;Kema Nord region;KEM;REGIONAL;SE2;SE
Vattenfall Eldistribution AB;Kind;KND;DISTRIBUTION;SE3;SE
Götene Elförening;Kinnekullebygden;KKB;DISTRIBUTION;SE3;SE
LKAB Nät AB;Kiruna LKAB;KLK;DISTRIBUTION;SE1;SE
Kraftringen Nät AB;Klippan;KPN;DISTRIBUTION;SE4;SE
Boda Nät ekonomiska förening;Knäpplan;KNP;DISTRIBUTION;SE3;SE
Svenska kraftnät;Konti-Skan st;KON;TRANSMISSION;SE3;SE
Ellevio AB;Kopparbergsbyggden;KOB;DISTRIBUTION;SE3;SE
Billerud Skog & Industri AB;Korsnäs;KNS;NONCON;SE3;SE
E.ON Energidistribution AB;Korsselbränna region;KBR;REGIONAL;SE2;SE
E.ON Energidistribution AB;Kramfors;KRF;DISTRIBUTION;SE2;SE
Fortum Sverige AB;Krångede region;KRG;REGIONAL;SE2;SE
C4 Elnät AB;Kristianstad-Åhus;KRS;DISTRIBUTION;SE4;SE
Kristinehamns Elnät AB;Kristinehamn;KRH;DISTRIBUTION;SE3;SE
Kungälv Energi AB;Kungälv;KUV;DISTRIBUTION;SE3;SE
E.ON Energidistribution AB;Kungsbacka;KBA;DISTRIBUTION;SE3;SE
Ellevio AB;Kungsbacka region;KUB;REGIONAL;SE3;SE
Kvänumbygdens Energi ek. för;Kvänum;KVM;DISTRIBUTION;SE3;SE
Kvarnforsen Nät AB;Kvarnforsen;KFN;REGIONAL;SE2;SE
Brittedals Elnät ek för;Kviinge;KVI;DISTRIBUTION;SE4;SE
Södra Hallands Kraft ekonomisk förening;Laholm;LHM;DISTRIBUTION;SE4;SE
Landskrona Energi AB;Landskrona;LKA;DISTRIBUTION;SE4;SE
Fortum Sverige AB;Långå;LAA;REGIONAL;SE2;SE
Jämtkraft Elnät AB;Länsterhöjden;LAN;REGIONAL;SE2;SE
Lehtirova Nät AB;Lehtirova;LEH;PRODUCTION;SE1;SE
Dala Energi Elnät AB;Leksand-Rättvik;LER;DISTRIBUTION;SE3;SE
Lerum Nät AB;Lerum;LRM;DISTRIBUTION;SE3;SE
Ellevio AB;Lidingö;LDG;DISTRIBUTION;SE3;SE
Lidköping Elnät AB;Lidköping;LDK;DISTRIBUTION;SE3;SE
Ale El Elnät AB;Lilla Edet-Ale;LED;DISTRIBUTION;SE3;SE
Vattenfall Eldistribution AB;Lillgrund;LGR;REGIONAL;SE4;SE
Ellevio AB;Lillhärdal Region;LHD;REGIONAL;SE2;SE
Linde Energi Elnät AB;Lindesberg;LDB;DISTRIBUTION;SE3;SE
Tekniska verken Linköping Nät AB;Linköping;LNK;DISTRIBUTION;SE3;SE
Fortum Sverige AB;Linnvasselv;LEV;REGIONAL;SE2;SE
E.ON Energidistribution AB;Ljungan Övre region;LJV;REGIONAL;SE2;SE
Ljungby Energinät AB;Ljungby;LBY;DISTRIBUTION;SE4;SE
Ljusdal Elnät AB;Ljusdal;LJD;DISTRIBUTION;SE2;SE
Kraftringen Nät AB;Lomma;LMA;DISTRIBUTION;SE4;SE
Luleå Energi Elnät AB;Luleå;LUL;DISTRIBUTION;SE1;SE
Vattenfall Eldistribution AB;Luleälven Övre;LAO;DISTRIBUTION;SE1;SE
Kraftringen Nät AB;Lund;LUN;DISTRIBUTION;SE4;SE
Skellefteå Kraft Elnät AB;Lyckselebygden;LYX;DISTRIBUTION;SE2;SE
LEVA Nät AB;Lysekil;LYS;DISTRIBUTION;SE3;SE
LKAB Nät AB;Malmberget LKAB;MBT;DISTRIBUTION;SE1;SE
Vattenfall Eldistribution AB;Malmfälten;MAF;DISTRIBUTION;SE1;SE
E.ON Energidistribution AB;Malmö-Burlöv;MMO;DISTRIBUTION;SE4;SE
Malung-Sälens Elnät AB;Malung;MLG;DISTRIBUTION;SE3;SE
Marhult Nät AB;Marhult;MAR;REGIONAL;SE4;SE
VänerEnergi AB;Mariestad;MAI;DISTRIBUTION;SE3;SE
Markbygden Net AB;Markbygden;MBN;REGIONAL;SE1;SE
Vattenfall Eldistribution AB;Marstrand;MSD;DISTRIBUTION;SE3;SE
E.ON Energidistribution AB;Medelpad Lokal;MEL;DISTRIBUTION;SE2;SE
Vattenfall Eldistribution AB;Mellansverige region;VFM;REGIONAL;SE3;SE
Jämtkraft Elnät AB;Midskog-Åskälen;MAS;REGIONAL;SE2;SE
