Status,Aktör,SvK Id,Ediel Id,EIC,Roll,Adress
Godkänd,Lidköping Elnät AB,071,26200,46X000000000226O,Nätägare,"Skogvaktarevägen 7C, 531 53 LIDKÖPING"
Godkänd,LEVA Nät AB,072,27200,46X000000000225Q,Nätägare,"Box 36, 45321 LYSEKIL"
Godkänd,Lerum Nät AB,055,25900,46X000000000224S,Nätägare,"Elvägen 7, 44361 STENKULLEN"
Godkänd,Lehtirova Nät AB,173,71730,46X0000000002858,Nätägare,"Box 2299, 103 17 Stockholm"
Godkänd,Landskrona Energi AB,188,25600,46X0000000003676,Nätägare,"Box 226, 261 23 Landskrona"
Godkänd,Kvänumbygdens Energi ek för,162,25500,46X000000000363E,Nätägare, ESP,"Skaragatan 23, 53530 KVÄNUM"
Godkänd,Kvarnforsen Nät AB,590,65900,46X000000000284A,Nätägare,"c/o O2, Box 2299, 103 17 Stockholm"
Godkänd,Kungälv Energi AB,241,25200,46X000000000362G,Nätägare,"Postbox 515, 442 15 KUNGÄLV"
Godkänd,Kristinehamns Elnät AB,070,24900,46X000000000283C,Nätägare,"Varnumsleden 1, 68193 KRISTINEHAMN"
Godkänd,Kraftringen Nät AB,239,24700,46X000000000282E,Nätägare, ESP,"Box 25, 221 00 Lund"
Godkänd,Karskruv Nät AB,740,47400,46X000000000281G,Nätägare,"c/o OX2, Box 2299, 103 17 Stockholm"
Godkänd,Karlstads Elnät AB,161,24300,46X000000000280I,Nätägare,"Box 5050, 650 05 KARLSTAD"
Godkänd,Karlskoga Elnät AB,238,24100,46X0000000002793,Nätägare,"Box 42, 69121 KARLSKOGA"
Godkänd,Karlshamn Elnät AB,M04,24000,46X000000000223U,Nätägare,"Box 174, 37423 KARLSHAMN"
Godkänd,Karlsborgs Elnät AB,237,23900,46X000000000222W,Nätägare,"Västra vägen 41, 54631 KARLSBORG"
Godkänd,Kalmar Energi Elnät AB,101,23800,46X0000000002785,Nätägare,"Box 822, 39239 KALMAR"
Godkänd,Jönköping Energi Nät AB,158,23600,46X0000000002777,Nätägare,"Box 5150, 55005 JÖNKÖPING"
Godkänd,Jämtkraft Elnät AB,008,42900,46X0000000002769,Nätägare,"Box 394, 83125 ÖSTERSUND"
Godkänd,Jukkasjärvi Sockens Belysningsförening, JBF,157,23300,46X000000000361I,Nätägare, Ombud, ESP,"Kauppinen 181, 981 92 KIRUNA"
Godkänd,Höganäs Energi Elnät AB,099,22900,46X000000000221Y,Nätägare,"Verkstadsgatan 13C, 26382 HÖGANÄS"
Godkänd,Härryda Energi AB,052,22700,46X000000000360K,Nätägare,", 435 80 Mölnlycke"
